ID,artist,title,picture data,file info,jpg url
31313,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1000*1181, true color, 207 kb",https://www.wga.hu/art/p/piero/2/8/8herac18.jpg
31314,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","850*968, true color, 179 kb",https://www.wga.hu/art/p/piero/2/8/8herac19.jpg
31315,PIERO DELLA FRANCESCA,9. exaltation of the cross,"1452-66, fresco, 390 x 747 cm, san francesco, arezzo","1239*900, true color, 213 kb",https://www.wga.hu/art/p/piero/2/9/9exal01.jpg
31316,PIERO DELLA FRANCESCA,9. exaltation of the cross (detail),"1452-66, fresco, san francesco, arezzo","1000*1170, true color, 214 kb",https://www.wga.hu/art/p/piero/2/9/9exal02.jpg
31317,PIERO DELLA FRANCESCA,9. exaltation of the cross (detail),"1452-66, fresco, san francesco, arezzo","900*1053, true color, 203 kb",https://www.wga.hu/art/p/piero/2/9/9exal03.jpg
31318,PIERO DELLA FRANCESCA,9. exaltation of the cross (detail),"1452-66, fresco, san francesco, arezzo","800*933, true color, 205 kb",https://www.wga.hu/art/p/piero/2/9/9exal04.jpg
31319,PIERO DELLA FRANCESCA,9. exaltation of the cross (detail),"1452-66, fresco, san francesco, arezzo","800*938, true color, 198 kb",https://www.wga.hu/art/p/piero/2/9/9exal05.jpg
31320,PIERO DELLA FRANCESCA,9. exaltation of the cross (detail),"1452-66, fresco, san francesco, arezzo","1000*1156, true color, 178 kb",https://www.wga.hu/art/p/piero/2/9/9exal06.jpg
31321,PIERO DELLA FRANCESCA,9. exaltation of the cross (detail),"1452-66, fresco, san francesco, arezzo","1215*700, true color, 182 kb",https://www.wga.hu/art/p/piero/2/9/9exal07.jpg
31322,PIERO DELLA FRANCESCA,9. exaltation of the cross (detail),"1452-66, fresco, san francesco, arezzo","1000*1170, true color, 214 kb",https://www.wga.hu/art/p/piero/2/9/9exal08.jpg
31323,PIERO DELLA FRANCESCA,10. annunciation (detail),"1452-66, fresco, san francesco, arezzo","800*942, true color, 172 kb",https://www.wga.hu/art/p/piero/2/91/91annun6.jpg
31324,PIERO DELLA FRANCESCA,10. annunciation (detail),"1452-66, fresco, san francesco, arezzo","850*1002, true color, 192 kb",https://www.wga.hu/art/p/piero/2/91/91annun2.jpg
31325,PIERO DELLA FRANCESCA,10. annunciation (detail),"1452-66, fresco, san francesco, arezzo","900*1178, true color, 183 kb",https://www.wga.hu/art/p/piero/2/91/91annun3.jpg
31326,PIERO DELLA FRANCESCA,10. annunciation (detail),"1452-66, fresco, san francesco, arezzo","900*1401, true color, 213 kb",https://www.wga.hu/art/p/piero/2/91/91annun4.jpg
31327,PIERO DELLA FRANCESCA,10. annunciation (detail),"1452-66, fresco, san francesco, arezzo","800*929, true color, 175 kb",https://www.wga.hu/art/p/piero/2/91/91annun5.jpg
31328,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1400*809, true color, 204 kb",https://www.wga.hu/art/p/piero/2/8/8herac17.jpg
31329,PIERO DELLA FRANCESCA,10. annunciation (detail),"1452-66, fresco, san francesco, arezzo","800*925, true color, 145 kb",https://www.wga.hu/art/p/piero/2/91/91annun7.jpg
31330,PIERO DELLA FRANCESCA,10. annunciation (detail),"1452-66, fresco, san francesco, arezzo","800*931, true color, 164 kb",https://www.wga.hu/art/p/piero/2/91/91annun8.jpg
31331,PIERO DELLA FRANCESCA,the prophet jeremiah,"1452-66, fresco, san francesco, arezzo","900*1219, true color, 168 kb",https://www.wga.hu/art/p/piero/2/92/92decor1.jpg
31332,PIERO DELLA FRANCESCA,cupid blindfolded,"1452-66, fresco, san francesco, arezzo","800*1016, true color, 171 kb",https://www.wga.hu/art/p/piero/2/92/92decor2.jpg
31333,PIERO DELLA FRANCESCA,10. annunciation,"1452-66, fresco, 329 x 193 cm, san francesco, arezzo","846*1400, true color, 219 kb",https://www.wga.hu/art/p/piero/2/91/91annun1.jpg
31334,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1000*1169, true color, 210 kb",https://www.wga.hu/art/p/piero/2/8/8herac16.jpg
31335,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","800*944, true color, 147 kb",https://www.wga.hu/art/p/piero/2/8/8herac10.jpg
31336,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1000*1156, true color, 197 kb",https://www.wga.hu/art/p/piero/2/8/8herac14.jpg
